,Country,Subject Descriptor,Subject Notes,Units,Country/Series-specific Notes,2015,2016,2017,2018,2019,Avg. Unemployment
70,North Macedonia,Unemployment rate,"Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]",Percent of total labor force,Source: National Statistics Office Latest actual data: 2019 Employment type: National definition Primary domestic currency: Macedonian denar Data last updated: 09/2020,26.05,23.75,22.375,20.725,17.25,22.03
71,Norway,Unemployment rate,"Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]",Percent of total labor force,Source: National Statistics Office Latest actual data: 2018 Employment type: National definition Primary domestic currency: Norwegian krone Data last updated: 09/2020,4.531,4.74,4.216,3.854,3.728,4.213800000000001
72,Pakistan,Unemployment rate,"Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]",Percent of total labor force,Source: IMF Staff Estimates Latest actual data: 2019/20. Preliminary data from the authorities. Employment type: Other Primary domestic currency: Pakistan rupee Data last updated: 09/2020,5.9,5.958,6.018,5.55,4.08,5.5012
73,Panama,Unemployment rate,"Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]",Percent of total labor force,Source: National Statistics Office Latest actual data: 2019 Employment type: National definition Primary domestic currency: U.S. dollar Data last updated: 09/2020,5.052,5.494,6.13,5.956,7.07,5.9403999999999995
74,Paraguay,Unemployment rate,"Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]",Percent of total labor force,Source: National Statistics Office Latest actual data: 2018 Employment type: National definition Primary domestic currency: Paraguayan guaraní Data last updated: 09/2020,5.351,5.998,6.086,6.236,6.086,5.951400000000001
75,Peru,Unemployment rate,"Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]",Percent of total labor force,Source: National Statistics Office Latest actual data: 2019 Employment type: National definition Primary domestic currency: Peruvian sol Data last updated: 09/2020,6.49,6.742,6.876,6.7,6.6,6.6816
76,Philippines,Unemployment rate,"Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]",Percent of total labor force,Source: National Statistics Office. Accessed via Haver Latest actual data: 2019 Employment type: Harmonized ILO definition. Please note that data prior to 2005 are not based on harmonized ILO definition but based on national definition. Primary domestic currency: Philippine peso Data last updated: 09/2020,6.275,5.475,5.725,5.325,5.075,5.575
77,Poland,Unemployment rate,"Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]",Percent of total labor force,Source: National Statistics Office Latest actual data: 2019 Employment type: National definition Primary domestic currency: Polish zloty Data last updated: 09/2020,7.499,6.161,4.888,3.846,3.279,5.134600000000001
78,Portugal,Unemployment rate,"Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]",Percent of total labor force,Source: National Statistics Office Latest actual data: 2019 Employment type: Harmonized ILO definition Primary domestic currency: Euro Data last updated: 09/2020,12.444,11.066,8.867,6.994,6.463,9.1668
79,Puerto Rico,Unemployment rate,"Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]",Percent of total labor force,Source: National Statistics Office Latest actual data: 2018/19 Employment type: National definition. Consistent with U.S. definition Primary domestic currency: U.S. dollar Data last updated: 08/2020,12.0,11.8,10.8,9.2,8.3,10.419999999999998
80,Romania,Unemployment rate,"Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]",Percent of total labor force,"Source: Haver Analytics. Formally, Eurostat. Latest actual data: 2019 Employment type: Harmonized ILO definition Primary domestic currency: Romanian leu Data last updated: 09/2020",6.812,5.902,4.927,4.187,3.912,5.148
81,Russia,Unemployment rate,"Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]",Percent of total labor force,Source: Haver Analytics Latest actual data: 2019 Employment type: Harmonized ILO definition Primary domestic currency: Russian ruble Data last updated: 09/2020,5.575,5.525,5.2,4.8,4.6,5.140000000000001
82,San Marino,Unemployment rate,"Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]",Percent of total labor force,Source: National Statistics Office Latest actual data: 2018 Primary domestic currency: Euro Data last updated: 09/2020,9.182,8.597,8.095,8.009,7.66,8.308600000000002
83,Saudi Arabia,Unemployment rate,"Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]",Percent of total labor force,"Source: National Statistics Office. General Authority for Statistics, Kingdom of Saudi Arabia (GSTAT) Latest actual data: 2019 Employment type: Harmonized ILO definition. unemployment rate updated to include expat workers, previously only nationals Primary domestic currency: Saudi Arabian riyal Data last updated: 09/2020",5.591,5.6,6.0,6.0,5.625,5.763199999999999
84,Serbia,Unemployment rate,"Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]",Percent of total labor force,Source: National Statistics Office. Statistical Office of the Republic of Serbia Latest actual data: 2019 Notes: The Labor Force Survey is conducted every quarter since Q1 2014. Employment type: Harmonized ILO definition. The methodology is harmonized with ILO and Eurostat. Primary domestic currency: Serbian dinar Data last updated: 09/2020,18.231,15.917,14.051,13.273,10.909,14.476200000000002
85,Seychelles,Unemployment rate,"Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]",Percent of total labor force,Source: National Statistics Office Latest actual data: 2015 Employment type: National definition Primary domestic currency: Seychelles rupee Data last updated: 07/2020,2.684,2.684,3.0,3.0,3.0,2.8736
86,Singapore,Unemployment rate,"Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]",Percent of total labor force,Source: National Statistics Office Latest actual data: 2019 Employment type: National definition. Prior to 1986 unemployment data excludes non-residents. Primary domestic currency: Singapore dollar Data last updated: 09/2020,1.9,2.075,2.175,2.1,2.25,2.1
87,Slovak Republic,Unemployment rate,"Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]",Percent of total labor force,Source: Haver Analytics. National Statistical Office Latest actual data: 2019 Employment type: Harmonized ILO definition Primary domestic currency: Euro Data last updated: 09/2020,11.483,9.683,8.108,6.542,5.758,8.314800000000002
88,Slovenia,Unemployment rate,"Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]",Percent of total labor force,Source: National Statistics Office Latest actual data: 2019 Employment type: Harmonized ILO definition Primary domestic currency: Euro Data last updated: 09/2020,8.992,8.008,6.575,5.125,4.6,6.659999999999999
89,South Africa,Unemployment rate,"Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]",Percent of total labor force,Source: National Statistics Office Latest actual data: 2019 Employment type: National definition Primary domestic currency: South African rand Data last updated: 09/2020,25.35,26.725,27.45,27.125,28.7,27.07
90,Spain,Unemployment rate,"Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]",Percent of total labor force,Source: National Statistics Office Latest actual data: 2019 Employment type: Harmonized ILO definition Primary domestic currency: Euro Data last updated: 09/2020,22.058,19.635,17.225,15.255,14.105,17.6556
91,Sri Lanka,Unemployment rate,"Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]",Percent of total labor force,Source: National Statistics Office. Department of Census and Statistics Latest actual data: 2018 Primary domestic currency: Sri Lanka rupee Data last updated: 09/2020,4.7,4.4,4.2,4.4,4.8,4.500000000000001
92,Sudan,Unemployment rate,"Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]",Percent of total labor force,"Source: Ministry of Labor and Civil Service and Human Resource Development and staff estimates., World Bank estimates. Latest actual data: 2011 Employment type: Not applicable Primary domestic currency: Sudanese pound Data last updated: 09/2020",21.6,20.6,19.6,19.5,22.1,20.68
93,Suriname,Unemployment rate,"Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]",Percent of total labor force,"Source: National Statistics Office. Data published by the Central Bank of Suriname (Table 23), compiled by the National Statistics Office. Latest actual data: 2018 Employment type: National definition Primary domestic currency: Surinamese dollar Data last updated: 09/2020",7.0,10.0,7.0,9.0,8.953,8.390600000000001
94,Sweden,Unemployment rate,"Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]",Percent of total labor force,Source: National Statistics Office. National Statistics Office Latest actual data: 2019 Employment type: National definition Primary domestic currency: Swedish krona Data last updated: 09/2020,7.4,6.95,6.683,6.325,6.767,6.825
95,Switzerland,Unemployment rate,"Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]",Percent of total labor force,Source: State Secretariat for Economic Affairs (SECO) Latest actual data: 2019 Employment type: National definition Primary domestic currency: Swiss franc Data last updated: 09/2020,3.178,3.323,3.088,2.547,2.306,2.8884
96,Taiwan Province of China,Unemployment rate,"Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]",Percent of total labor force,"Source: CEIC Latest actual data: 2018 Employment type: National definition. Labor Force It is defined as those civilians who, during the reference week, are 15 years of age or over and who are available to work, including both the employed and the unemployed. Employed Population Including all persons who, during the reference week, work for pay or work for 15 hours or more as unpaid family workers.  Unemployed Population Including all the persons who, during the reference week, are 15 years of age or over and under the following conditions: - No job - Available to work - Seeking for a job, or had sought work waiting for result.  Besides, the unemployed population also includes the persons who are waiting to recall or start a new job but not working and paid yet Primary domestic currency: New Taiwan dollar Data last updated: 09/2020",3.78,3.92,3.76,3.71,3.8,3.7939999999999996
97,Thailand,Unemployment rate,"Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]",Percent of total labor force,"Source: National Statistics Office. Labour Force Survey, downloaded from CEIC Latest actual data: 2018 Employment type: National definition Primary domestic currency: Thai baht Data last updated: 09/2020",0.9,1.0,1.2,1.1,1.0,1.0399999999999998
98,Tunisia,Unemployment rate,"Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]",Percent of total labor force,Source: National Statistics Office Latest actual data: 2019 Employment type: Harmonized ILO definition Primary domestic currency: Tunisian dinar Data last updated: 08/2020,15.39,15.544,15.513,15.53,14.889,15.3732
99,Turkey,Unemployment rate,"Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]",Percent of total labor force,Source: Haver Analytics. Data from Turkish Statistical Institute (TurkStat) Latest actual data: 2019 Employment type: National definition Primary domestic currency: Turkish lira Data last updated: 09/2020,10.279,10.907,10.904,10.955,13.709,11.350800000000001
100,Ukraine,Unemployment rate,"Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]",Percent of total labor force,"Source: Haver Analytics. Formally, the State Statistics Committee of Ukraine Latest actual data: 2019. Starting in 2014, data excludes Crimea and Sevastopol.  Data officially published for 2013 have been recalculated by the IMF staff to exclude Crimea and Sevastopol to ensure a comparable base going forward. Employment type: National definition Primary domestic currency: Ukrainian hryvnia Data last updated: 09/2020",9.143,9.45,9.65,9.0,8.5,9.1486
101,United Kingdom,Unemployment rate,"Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]",Percent of total labor force,Source: National Statistics Office Latest actual data: 2019 Employment type: Harmonized ILO definition Primary domestic currency: Pound sterling Data last updated: 09/2020,5.375,4.875,4.425,4.075,3.825,4.515
102,United States,Unemployment rate,"Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]",Percent of total labor force,Source: National Statistics Office Latest actual data: 2019 Employment type: National definition Primary domestic currency: U.S. dollar Data last updated: 09/2020,5.275,4.875,4.342,3.892,3.667,4.410200000000001
103,Uruguay,Unemployment rate,"Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]",Percent of total labor force,Source: National Statistics Office Latest actual data: 2019 Employment type: National definition Primary domestic currency: Uruguayan peso Data last updated: 09/2020,7.533,7.867,7.925,8.367,8.925,8.1234
104,Vietnam,Unemployment rate,"Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]",Percent of total labor force,Source: Other Latest actual data: 2019 Employment type: National definition Primary domestic currency: Vietnamese dong Data last updated: 09/2020,2.33,2.33,2.21,2.21,2.21,2.258
105,West Bank and Gaza,Unemployment rate,"Unemployment rate can be defined by either the national definition, the ILO harmonized definition, or the OECD harmonized definition. The OECD harmonized unemployment rate gives the number of unemployed persons as a percentage of the labor force (the total number of people employed plus unemployed). [OECD Main Economic Indicators, OECD, monthly] As defined by the International Labour Organization, unemployed workers are those who are currently not working but are willing and able to work for pay, currently available to work, and have actively searched for work. [ILO, http://www.ilo.org/public/english/bureau/stat/res/index.htm]",Percent of total labor force,Source: National Statistics Office Latest actual data: 2019 Employment type: Harmonized ILO definition Primary domestic currency: Israeli New Shekel Data last updated: 09/2020,25.9,26.9,25.45,26.25,25.35,25.97
